CITY_JP	City
#井原市	
#倉敷市	
#備前市	
#加賀郡吉備中央町	
#勝田郡勝央町	
#和気郡和気町	
#小田郡矢掛町	
#岡山市中区	
#岡山市北区	
#岡山市南区	
#岡山市東区	
#新見市	
#津山市	
#浅口市	
#浅口郡里庄町	
#玉野市	
#真庭市	
#笠岡市	
#総社市	
#美作市	
#苫田郡鏡野町	
#赤磐市	
#都窪郡早島町	
#高梁市	
