CITY_JP	City
#大津市	
#守山市	
#彦根市	
#愛知郡愛荘町	
#東近江市	
#栗東市	
#湖南市	
#犬上郡多賀町	
#犬上郡甲良町	
#犬上郡豊郷町	
#甲賀市	
#米原市	
#草津市	
#蒲生郡日野町	
#蒲生郡竜王町	
#近江八幡市	
#野洲市	
#長浜市	
#高島市	
