CITY_JP	City
#さぬき市	
#三豊市	
#丸亀市	
#仲多度郡まんのう町	
#仲多度郡多度津町	
#仲多度郡琴平町	
#善通寺市	
#坂出市	
#小豆郡土庄町	
#小豆郡小豆島町	
#木田郡三木町	
#東かがわ市	
#綾歌郡宇多津町	
#綾歌郡綾川町	
#観音寺市	
#高松市	
