CITY_JP	City
#五島市	
#佐世保市	
#北松浦郡佐々町	
#南島原市	
#南松浦郡新上五島町	
#壱岐市	
#大村市	
#対馬市	
#島原市	
#平戸市	
#東彼杵郡川棚町	
#東彼杵郡東彼杵町	
#東彼杵郡波佐見町	
#松浦市	
#西彼杵郡時津町	
#西彼杵郡長与町	
#西海市	
#諫早市	
#長崎市	
#雲仙市	
