CITY_JP	City
#南国市	
#吾川郡いの町	
#四万十市	
#土佐市	
#土佐清水市	
#土佐郡土佐町	
#安芸市	
#安芸郡奈半利町	
#安芸郡安田町	
#安芸郡東洋町	
#安芸郡田野町	
#室戸市	
#宿毛市	
#幡多郡黒潮町	
#長岡郡本山町	
#須崎市	
#香南市	
#香美市	
#高岡郡中土佐町	
#高岡郡佐川町	
#高岡郡四万十町	
#高岡郡越知町	
#高知市	
