CITY_JP	City
#上益城郡嘉島町	
#上益城郡御船町	
#上益城郡益城町	
#人吉市	
#八代市	
#合志市	
#天草市	
#宇土市	
#宇城市	
#山鹿市	
#水俣市	
#熊本市	
#熊本市中央区	
#熊本市北区	
#熊本市南区	
#熊本市東区	
#熊本市西区	
#玉名市	
#玉名郡長洲町	
#荒尾市	
#菊池市	
#菊池郡大津町	
#菊池郡菊陽町	
#葦北郡芦北町	
#阿蘇市	
