ID,Longitude,Latitude,title,type,note,date
,138.91197,35.17082,101,syoukasen, ,2014/2/22 0:00
,138.91048,35.16847,102,syoukasen,,2014/2/22 0:00
,138.90945,35.1681,103,syoukasen, ,2014/2/22 0:00
,138.9094,35.16913,104,syoukasen,,2014/2/22 0:00
,138.91064,35.16983,105,syoukasen, ,2014/2/22 0:00
,138.91069,35.17016,106,syoukasen,,2014/2/22 0:00
,138.90993,35.17121,107,syoukasen, ,2014/2/22 0:00
,138.90686,35.16948,108,syoukasen,,2014/2/22 0:00
,138.90643,35.16854,109,syoukasen, ,2014/2/22 0:00
,138.906,35.17067,110,syoukasen,,2014/2/22 0:00
,138.90513,35.17097,111,syoukasen, ,2014/2/22 0:00
,138.90505,35.17046,112,syoukasen,,2014/2/22 0:00
,138.90332,35.17024,113,syoukasen, ,2014/2/22 0:00
,138.90408,35.16905,114,syoukasen,,2014/2/22 0:00
,138.90014,35.1717,115,syoukasen, ,2014/2/22 0:00
,138.90123,35.17264,116,syoukasen,,2014/2/22 0:00
,138.90371,35.17218,117,syoukasen, ,2014/2/22 0:00
,138.90346,35.17234,118,syoukasen,,2014/2/22 0:00
,138.90571,35.17278,119,syoukasen, ,2014/2/22 0:00
,138.90614,35.17303,120,syoukasen,,2014/2/22 0:00
,138.90702,35.17318,121,syoukasen, ,2014/2/22 0:00
,138.90731,35.17252,122,syoukasen,,2014/2/22 0:00
,138.90806,35.17302,123,syoukasen, ,2014/2/22 0:00
,138.90728,35.17415,124,syoukasen,,2014/2/22 0:00
,138.90491,35.17381,125,syoukasen, ,2014/2/22 0:00
,138.9037,35.1735,126,syoukasen,,2014/2/22 0:00
,138.90054,35.17467,127,syoukasen, ,2014/2/22 0:00
,138.8997,35.17532,128,syoukasen,,2014/2/22 0:00
,138.90027,35.17557,129,syoukasen, ,2014/2/22 0:00
,138.9021,35.17646,130,syoukasen,,2014/2/22 0:00
,138.90394,35.17622,131,syoukasen, ,2014/2/22 0:00
,138.90396,35.17707,132,syoukasen,,2014/2/22 0:00
,138.90457,35.17487,133,syoukasen, ,2014/2/22 0:00
,138.9068,35.17513,134,syoukasen,,2014/2/22 0:00
,138.90544,35.17638,135,syoukasen, ,2014/2/22 0:00
,138.9065,35.17632,136,syoukasen,,2014/2/22 0:00
,138.90748,35.17642,137,syoukasen, ,2014/2/22 0:00
,138.90826,35.17528,138,syoukasen,,2014/2/22 0:00
,138.90846,35.17443,139,syoukasen, ,2014/2/22 0:00
,138.9096,35.175,140,syoukasen,,2014/2/22 0:00
,138.91077,35.17557,141,syoukasen, ,2014/2/22 0:00
,138.9105,35.17493,142,syoukasen,,2014/2/22 0:00
,138.91116,35.17497,143,syoukasen, ,2014/2/22 0:00
,138.91172,35.17437,144,syoukasen,,2014/2/22 0:00
,138.91085,35.17366,145,syoukasen, ,2014/2/22 0:00
,138.90973,35.17412,146,syoukasen,,2014/2/22 0:00
,138.91012,35.17365,147,syoukasen, ,2014/2/22 0:00
,138.90935,35.17331,148,syoukasen,,2014/2/22 0:00
,138.90907,35.17271,149,syoukasen, ,2014/2/22 0:00
,138.91045,35.17301,150,syoukasen,,2014/2/22 0:00
,138.91012,35.17258,151,syoukasen, ,2014/2/22 0:00
